provinces,cityMunicipality,link
ILOCOS SUR,BANAYOYO,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/BANAYOYO.pdf
ILOCOS SUR,BANTAY,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/BANTAY.pdf
ILOCOS SUR,BURGOS,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/BURGOS.pdf
ILOCOS SUR,CABUGAO,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/CABUGAO.pdf
ILOCOS SUR,CANDON CITY,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/CANDON_CITY.pdf
ILOCOS SUR,CAOAYAN,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/CAOAYAN.pdf
ILOCOS SUR,CERVANTES,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/CERVANTES.pdf
ILOCOS SUR,GALIMUYOD,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/GALIMUYOD.pdf
ILOCOS SUR,GREGORIO DEL PILAR (CONCEPCION),https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/GREGORIO_DEL_PILAR.pdf
ILOCOS SUR,LIDLIDDA,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/LIDLIDDA.pdf
ILOCOS SUR,MAGSINGAL,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/MAGSINGAL.pdf
ILOCOS SUR,NAGBUKEL,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/NAGBUKEL.pdf
ILOCOS SUR,NARVACAN,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/NARVACAN.pdf
ILOCOS SUR,QUIRINO (ANGKAKI),https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/QUIRINO.pdf
ILOCOS SUR,SALCEDO (BAUGEN),https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/SALCEDO.pdf
ILOCOS SUR,SAN EMILIO,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/SAN_EMILIO.pdf
ILOCOS SUR,SAN ESTEBAN,https://comelec.gov.ph/php-tpls-attachments/2022NLE/BallotTemplates/REGION_I/ILOCOS_SUR/SAN_ESTEBAN.pdf
